[0.07285016030073166],[-0.08682837337255478],[7.524745712986757],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.0838969424366951],[-0.08412077277898788],[12.502351664203363],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.09259346127510071],[-0.08136464655399323],[16.951125627486523],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.09904899448156357],[-0.0789288878440857],[20.454593532117347],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.10669861733913422],[-0.07549917697906494],[23.920780379508425],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.12032995373010635],[-0.0681888610124588],[28.42109584457248],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.12874820828437805],[-0.06271996349096298],[30.912839666535017],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.1392219066619873],[-0.05564919114112854],[34.02590523264985],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.14786173403263092],[-0.049399394541978836],[36.35174703656476],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.15595944225788116],[-0.042636048048734665],[38.42767443888987],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.16390268504619598],[-0.03568675369024277],[39.957016295532846],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.1764943152666092],[-0.02434637024998665],[42.04680714481978],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.18841113150119781],[-0.012613223865628242],[44.5266722221677],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.19588640332221985],[-0.004675400443375111],[46.00724185294768],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.20331737399101257],[0.003828689455986023],[47.15279434064546],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.2124132513999939],[0.014316758140921593],[48.429671046635846],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.21938814222812653],[0.022949358448386192],[49.50563314416591],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.22490401566028595],[0.02985880710184574],[50.457818324967796],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.23808041214942932],[0.04740985482931137],[52.852338307682196],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.2442605197429657],[0.056555576622486115],[53.785105776266484],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.25082290172576904],[0.06572878360748291],[54.768828115416696],[0.12243892252445221],[0.1131327897310257],[-5.259756594419701]
[0.25962021946907043],[0.07957649230957031],[55.89481815537619],[0.10195492953062057],[0.14980632066726685],[12.036825866762657]
[0.2661390006542206],[0.0897638350725174],[56.30073630713538],[0.09400150924921036],[0.1405438780784607],[10.91984705202754]
[0.27448520064353943],[0.10381194949150085],[57.16926681648788],[0.08292312175035477],[0.13148236274719238],[9.314309470156967]
[0.27972403168678284],[0.11175689101219177],[57.55790531924388],[0.07782430946826935],[0.12647846341133118],[7.918898429800041]
[0.2869824767112732],[0.12421850860118866],[57.89454161938119],[0.06986615061759949],[0.11967944353818893],[5.020846898625795]
[0.2942601442337036],[0.13646410405635834],[58.33946891338066],[0.06067864969372749],[0.11540946364402771],[3.139569071589306]
[0.30046361684799194],[0.14665350317955017],[58.937584215590384],[0.05197016894817352],[0.11386415362358093],[2.2211663828477253]
[0.30623045563697815],[0.15688873827457428],[59.37937512794098],[0.043435338884592056],[0.11399035900831223],[1.304547513177582]
[0.3132767975330353],[0.16952639818191528],[59.77533855728994],[0.032278720289468765],[0.11545279622077942],[0.8025727816465655]
