[-0.0017898742808029056],[-0.44312793016433716],[177.65842555278985],[0.19391469657421112],[0.2491457313299179],[-122.9142084267946]
[-0.0017793438164517283],[-0.44313734769821167],[177.6678356908511],[0.19687402248382568],[0.2527618706226349],[-123.00894032879334]
[-0.001761357532814145],[-0.44316336512565613],[177.6504258279633],[0.19947871565818787],[0.2556505501270294],[-123.0503837968188]
[-0.0017615274991840124],[-0.44319164752960205],[177.66576311814472],[0.20250140130519867],[0.25947627425193787],[-123.2253882354003]
[-0.001688513089902699],[-0.4430992901325226],[177.5707796340848],[0.20612286031246185],[0.2638888955116272],[-123.43049664318396]
[-0.0016945044044405222],[-0.4431033432483673],[177.5758564887613],[0.2100449800491333],[0.26830291748046875],[-123.16846817823475]
[-0.001705411821603775],[-0.4430980682373047],[177.57100889178272],[0.21315233409404755],[0.2718845307826996],[-122.88911352829389]
[-0.0017082950798794627],[-0.4430971145629883],[177.57470829034455],[0.21569271385669708],[0.27478423714637756],[-122.82017684695825]
[-0.0017131707863882184],[-0.443100243806839],[177.57521844215867],[0.2186294049024582],[0.27832919359207153],[-122.86014572008013]
[-0.0016872042324393988],[-0.4431058466434479],[177.5648136127868],[0.22139717638492584],[0.2817160189151764],[-123.11144086677099]
[-0.0016974074533209205],[-0.4431031048297882],[177.5812739059375],[0.22438009083271027],[0.28525209426879883],[-123.18264219052251]
[-0.0016855477588251233],[-0.4431227147579193],[177.5737953866927],[0.22737514972686768],[0.288769394159317],[-123.11048967079397]
[-0.0016989647410809994],[-0.44309860467910767],[177.5770801322925],[0.23091362416744232],[0.29306575655937195],[-122.96882019881909]
[-0.001705395756289363],[-0.44309884309768677],[177.57915465348518],[0.2339923083782196],[0.2967795729637146],[-122.89475342708715]
[-0.0017085152212530375],[-0.44309473037719727],[177.57676104487675],[0.238027885556221],[0.3013983368873596],[-122.78857347774448]
[-0.0016924528172239661],[-0.4431248605251312],[177.56055894934428],[0.24221216142177582],[0.306102991104126],[-122.44066210924046]
[-0.0016851555556058884],[-0.4431222975254059],[177.566393097062],[0.24470217525959015],[0.30914953351020813],[-122.39915940043201]
[-0.001693246653303504],[-0.4430995285511017],[177.57320867218814],[0.2488659918308258],[0.3140861690044403],[-122.53440129359971]
[-0.0016948252450674772],[-0.443092405796051],[177.5728477815508],[0.25155994296073914],[0.31747347116470337],[-123.04236447723191]
[-0.0016866845544427633],[-0.443095326423645],[177.56591828625733],[0.2547130286693573],[0.32147905230522156],[-123.25111971415275]
[-0.0016850034007802606],[-0.44308456778526306],[177.5613923964225],[0.2578106224536896],[0.3250011205673218],[-123.12391375147043]
[-0.0017459266819059849],[-0.4431503117084503],[177.62820582929703],[0.26167386770248413],[0.3294430375099182],[-123.0068457606325]
[-0.0017790996935218573],[-0.4431312382221222],[177.66421556684693],[0.2656744122505188],[0.33412966132164],[-123.0005876917259]
[-0.0017632849048823118],[-0.44315454363822937],[177.6560835626585],[0.26923710107803345],[0.3387124538421631],[-123.14959123962726]
[-0.0017729471437633038],[-0.4431316554546356],[177.66489118232406],[0.2721078395843506],[0.3421579599380493],[-123.22730381127184]
[-0.0017617113189771771],[-0.4431549906730652],[177.65618865738898],[0.2752121686935425],[0.34559863805770874],[-122.5670004727315]
[-0.0017779808258637786],[-0.4431536793708801],[177.67328617325447],[0.2779847979545593],[0.3486202657222748],[-122.2098345283433]
[-0.00179456383921206],[-0.4431358575820923],[177.65679394047103],[0.2804485261440277],[0.3514834940433502],[-122.134745686909]
[-0.001864488236606121],[-0.4431796073913574],[177.64200141832555],[0.28290337324142456],[0.354408323764801],[-122.02463416769535]
[-0.0018803545972332358],[-0.4431929290294647],[177.6463514072936],[0.2851669490337372],[0.35734227299690247],[-122.17164890548986]
[-0.0018664825474843383],[-0.44318315386772156],[177.6424024700329],[0.2878410518169403],[0.3606257736682892],[-122.13122102693872]
[-0.0018576170550659299],[-0.44316384196281433],[177.6398911587143],[0.2912425994873047],[0.36480361223220825],[-121.97322790321321]
[-0.0018664844101294875],[-0.4431963860988617],[177.64302010761034],[0.29453450441360474],[0.3688175082206726],[-121.94405342395689]
[-0.0018582242773845792],[-0.4431841969490051],[177.64476269310552],[0.29756367206573486],[0.37248495221138],[-121.9003279578474]
[-0.0018573782872408628],[-0.4431815445423126],[177.64200487979403],[0.3001769185066223],[0.3756936192512512],[-121.94665833272201]
[-0.0018664555391296744],[-0.44317537546157837],[177.63626993344454],[0.302547812461853],[0.37883904576301575],[-122.0727005014737]
[-0.0018781747203320265],[-0.4431786835193634],[177.63723508933137],[0.3047703802585602],[0.38141122460365295],[-122.04396864662756]
[-0.0018772621406242251],[-0.4431785047054291],[177.63784725002932],[0.3077915608882904],[0.38476645946502686],[-121.65920536277348]
[-0.0018677101470530033],[-0.44319427013397217],[177.64528944755844],[0.3109138011932373],[0.3887665867805481],[-121.7692975407074]
[-0.001895026070997119],[-0.4431885778903961],[177.63881654582428],[0.31420648097991943],[0.39250099658966064],[-121.76277221861552]
[-0.0018526959465816617],[-0.44318509101867676],[177.64133741890493],[0.31819218397140503],[0.39765849709510803],[-122.003784526113]
[-0.0018901346484199166],[-0.44317758083343506],[177.63762235257298],[0.32016319036483765],[0.40017232298851013],[-122.119112753901]
[-0.0018673978047445416],[-0.4431803226470947],[177.64116070993904],[0.3227585554122925],[0.4032626748085022],[-122.04124550478178]
[-0.0018732016906142235],[-0.44318899512290955],[177.65131488305312],[0.32528576254844666],[0.40652555227279663],[-122.094259456786]
[-0.0018761643441393971],[-0.4431784451007843],[177.63950005975448],[0.3279693126678467],[0.40976378321647644],[-122.27789619360169]
[-0.0018568127416074276],[-0.4432021677494049],[177.63460372858924],[0.3303126394748688],[0.4124554693698883],[-122.17145897290135]
[-0.0018549321684986353],[-0.44317078590393066],[177.63709961113227],[0.3328787684440613],[0.41576966643333435],[-122.2366166142246]
[-0.0018628231482580304],[-0.4432026743888855],[177.64377008418606],[0.3347626328468323],[0.41843467950820923],[-122.54628390462992]
[-0.001856697490438819],[-0.4431926906108856],[177.64329335532076],[0.3375352919101715],[0.4216509163379669],[-122.49423688381688]
[-0.0018510579830035567],[-0.4431803524494171],[177.64296335671781],[0.3408457934856415],[0.4255063831806183],[-122.09634238766503]
[-0.0018681521760299802],[-0.44318509101867676],[177.64022428178933],[0.3435341417789459],[0.42875948548316956],[-122.07589716949963]
[-0.0018709753639996052],[-0.4431760609149933],[177.640661859294],[0.3456241190433502],[0.4312651455402374],[-122.17495133431098]
[-0.001868183258920908],[-0.4431881010532379],[177.6429716292115],[0.3481847047805786],[0.4347478747367859],[-122.58170508644288]
[-0.0018587567610666156],[-0.4431796371936798],[177.64033930112475],[0.35071948170661926],[0.4382537007331848],[-123.28027305532254]
[-0.001855845795944333],[-0.44318443536758423],[177.6411271834234],[0.35232359170913696],[0.44032150506973267],[-123.8082856699272]
[-0.0018544597551226616],[-0.4431834816932678],[177.64459803656123],[0.3550422489643097],[0.44365888833999634],[-124.26412508979533]
[-0.001863148994743824],[-0.44318974018096924],[177.64390730258344],[0.3572905659675598],[0.44652259349823],[-124.61934323945844]
[-0.0018619010224938393],[-0.4431775212287903],[177.6424567240842],[0.35915228724479675],[0.4487767219543457],[-125.00168743185164]
[-0.0018699432257562876],[-0.44317179918289185],[177.64278842278048],[0.36153435707092285],[0.4515364468097687],[-125.28152856492517]
[-0.0018808470340445638],[-0.44318869709968567],[177.6418313199215],[0.36446329951286316],[0.45483869314193726],[-125.16536414409696]
[-0.0018756822682917118],[-0.44319620728492737],[177.64596227818612],[0.3669576942920685],[0.45744580030441284],[-124.97560628043125]
[-0.0018612929852679372],[-0.443180114030838],[177.6375194441865],[0.37064623832702637],[0.4611425995826721],[-124.53744804244619]
[-0.0018559277523308992],[-0.44317683577537537],[177.64134137148994],[0.3734346628189087],[0.4640311598777771],[-124.20958439888804]
[-0.001846033614128828],[-0.443172425031662],[177.6424334262719],[0.376280277967453],[0.46728816628456116],[-124.43068215287391]
[-0.0018561104079708457],[-0.44317448139190674],[177.6445813354733],[0.37843504548072815],[0.46981894969940186],[-124.62100591338367]
[-0.0018677737098187208],[-0.4431728720664978],[177.6441500783294],[0.38069623708724976],[0.47239524126052856],[-124.81933518450526]
[-0.0018887545447796583],[-0.4431852102279663],[177.64108344880694],[0.3824310302734375],[0.47437918186187744],[-125.0090867754988]
[-0.0018796735676005483],[-0.44318878650665283],[177.63899301103368],[0.3846338093280792],[0.4768967926502228],[-125.0182430703465]
